# -------------------------------------------------------;;;;;;;;;
# App: com.ichi2.anki, date: 20141212-20150112;;;;;;;;;
# -------------------------------------------------------;;;;;;;;;
;;;;;;;;;
date;language;current_device_installs;daily_device_installs;daily_device_uninstalls;daily_device_upgrades;current_user_installs;total_user_installs;daily_user_installs;daily_user_uninstalls
20150112;de_AU;1;0;0;0;0;0;0;0
20150112;de_AT;5005;26;11;9;4227;8131;20;8
20150112;de;33;0;0;0;30;57;0;0
20150112;da_DK;852;4;1;0;731;1438;3;0
20150112;da_DE;1;0;0;0;1;1;0;0
20150112;cy_GB;0;0;0;0;0;1;0;0
20150112;cy;1;0;0;0;1;1;0;0
20150112;cs_SK;3;0;0;0;3;12;0;0
20150112;cs_SI;1;0;0;0;1;1;0;0
20150112;cs_RO;0;0;0;0;0;1;0;0
20150112;cs_PL;6;0;0;0;5;7;0;0
20150112;cs_NL;1;0;0;0;1;1;0;0
20150112;cs_MK;0;0;0;0;0;1;0;0
20150112;cs_LT;0;0;0;0;0;1;0;0
20150112;cs_DE;7;0;0;0;6;12;0;0
20150112;cs_CZ;5383;23;15;1;4696;9377;19;15
20150112;cs_BY;2;0;0;0;1;2;0;0
20150112;cs_BG;1;0;0;0;1;2;0;0
20150112;cs_AL;2;1;0;0;2;3;1;0
20150112;cs;8;0;0;0;8;15;0;0
20150112;ca_ES;489;4;2;0;440;806;3;1
20150112;ca;3;0;0;0;3;4;0;0
20150112;bs_BA;11;0;0;0;10;48;0;0
20150112;bs;0;0;0;0;0;4;0;0
20150112;br_BR;1;0;0;0;1;2;0;0
20150112;bn_IN;0;0;0;0;0;1;0;0
20150112;bg_HU;1;0;0;0;1;1;0;0
20150112;bg_CZ;0;0;0;0;0;2;0;0
20150112;bg_BY;1;0;0;0;1;1;0;0
20150112;bg_BG;256;1;2;0;238;538;1;2
20150112;be_BY;0;0;0;0;0;1;0;0
20150112;az_AZ;6;1;0;0;6;22;1;0
20150112;ar_YE;1;0;0;0;1;7;0;0
20150112;ar_US;0;0;0;0;0;1;0;0
20150112;ar_TN;0;0;0;0;0;1;0;0
20150112;ar_SY;0;0;0;0;0;1;0;0
20150112;ar_SR;0;0;0;0;0;1;0;0
20150112;ar_SA;13;0;0;0;13;34;0;0
20150112;ar_QA;0;0;0;0;0;4;0;0
20150112;ar_OM;0;0;0;0;0;1;0;0
20150112;ar_MA;3;0;0;0;3;3;0;0
20150112;ar_LY;2;0;0;0;2;5;0;0
20150112;ar_LB;1;0;0;0;1;3;0;0
20150112;ar_KW;0;0;0;0;0;2;0;0
20150112;ar_JO;0;0;0;0;0;2;0;0
